days_in_crisis,energy_crisis_1970,oil_crisis_1973,early_1980s_recession,black_monday,dot_com_bubble,financial_crisis_2007,corona_2020
-29,-0.0007470477168557421,-0.05865268939319912,0.08034744357565338,-0.01886765051372552,0.09316413172404858,-0.10342342767277513,-0.05886485208698988
-28,-0.006067427083036647,-0.051835065997657415,0.0635187225584507,-0.01461137811229185,0.037636705563711015,-0.09569069494004245,-0.039413975474353324
-27,-0.007965992017522794,-0.04656926860548083,0.0775305219684802,-0.01979039184793696,0.07765614820791067,-0.09832524518467922,-0.03726840689868072
-26,-0.005653853289199096,-0.04606801547264883,0.07159580386759001,-0.018328896625902202,0.07895064658978757,-0.09569761755705164,-0.02918118274833048
-25,-0.0026570805828827204,-0.04356801547264877,0.06637581878183318,-0.014409523725566253,0.08697632877277317,-0.08676904612848024,-0.015202167413382872
-24,-0.0026570805828827204,-0.044819579928218056,0.04582787357635365,-0.013290955492904044,0.07676066475461196,-0.07682429474726482,0.0002768231148734257
-23,-0.0021962510897952647,-0.037859599813875655,0.038931321852215706,-0.0006998355459193473,0.06328490468887638,-0.07461922308243574,-0.0030717115025963304
-22,-0.0024267189395301703,-0.037421523977740456,0.05029495821585206,0.0016142140408574868,0.05749978072193418,-0.06313916786191698,-0.00046348605013268873
-21,-0.0021963041929864424,-0.043671523977740545,0.010105832920343838,-0.005376465053683166,0.06488288162431322,-0.04480821208445618,-0.014134290499592694
-20,-0.007990046950808072,-0.041177758391705566,0.00773616467389826,-0.004711129059005947,0.060929661397003176,-0.04125455181437798,-0.01229984147796559
-19,-0.011945375010370629,-0.05125332514233516,0.014405446745298756,-0.0013954791916319653,0.05657330865355348,-0.040331453042809495,-0.014687092268339086
-18,-0.005702600443896588,-0.04624079381401447,0.005699471280320445,0.004100234151960036,0.05574549408401708,-0.03771105644224293,-0.017793687310731388
-17,-0.006860007851304029,-0.04749865148379362,0.024721210410755257,0.0020074926606064025,0.04486683299615091,-0.03984022606608972,-0.015275933921447882
-16,-0.006166045325280534,-0.0400266714090739,0.022386580060560712,0.0005735636952413081,0.028710370411116792,-0.023298033004038987,-0.011705768921930315
-15,-0.008020043007783473,-0.03704678563802832,0.0009239409508627894,0.00024254747544638633,0.023582165282911682,-0.01961235845605569,-0.00974762819260322
-14,-0.004555839774527115,-0.03508524541130842,0.01887866382361847,0.006819331428093545,0.02749839208352456,-0.02555849346829775,-0.013818062638095818
-13,-0.003402437237041478,-0.031381541707604765,0.036595049699893356,0.010314689156111112,0.02493779119584949,-0.011216633163533274,-0.010221171379826144
